FK_Person_BusinessEntity_BusinessEntityID,Person,Person,BusinessEntityID,Person,BusinessEntity,BusinessEntityID
FK_Product_ProductModel_ProductModelID,Production,Product,ProductModelID,Production,ProductModel,ProductModelID
FK_Product_ProductSubcategory_ProductSubcategoryID,Production,Product,ProductSubcategoryID,Production,ProductSubcategory,ProductSubcategoryID
FK_Product_UnitMeasure_SizeUnitMeasureCode,Production,Product,SizeUnitMeasureCode,Production,UnitMeasure,UnitMeasureCode
FK_Product_UnitMeasure_WeightUnitMeasureCode,Production,Product,WeightUnitMeasureCode,Production,UnitMeasure,UnitMeasureCode
FK_ProductSubcategory_ProductCategory_ProductCategoryID,Production,ProductSubcategory,ProductCategoryID,Production,ProductCategory,ProductCategoryID
FK_Customer_Person_PersonID,Sales,Customer,PersonID,Person,Person,BusinessEntityID
FK_Customer_SalesTerritory_TerritoryID,Sales,Customer,TerritoryID,Sales,SalesTerritory,TerritoryID
FK_Customer_Store_StoreID,Sales,Customer,StoreID,Sales,Store,BusinessEntityID
FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID,Sales,SalesOrderDetail,SalesOrderID,Sales,SalesOrderHeader,SalesOrderID
FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID,Sales,SalesOrderDetail,ProductID,Sales,SpecialOfferProduct,ProductID
FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID,Sales,SalesOrderDetail,SpecialOfferID,Sales,SpecialOfferProduct,SpecialOfferID
FK_SalesOrderHeader_Address_BillToAddressID,Sales,SalesOrderHeader,BillToAddressID,Person,Address,AddressID
FK_SalesOrderHeader_Address_ShipToAddressID,Sales,SalesOrderHeader,ShipToAddressID,Person,Address,AddressID
FK_SalesOrderHeader_CreditCard_CreditCardID,Sales,SalesOrderHeader,CreditCardID,Sales,CreditCard,CreditCardID
FK_SalesOrderHeader_CurrencyRate_CurrencyRateID,Sales,SalesOrderHeader,CurrencyRateID,Sales,CurrencyRate,CurrencyRateID
FK_SalesOrderHeader_Customer_CustomerID,Sales,SalesOrderHeader,CustomerID,Sales,Customer,CustomerID
FK_SalesOrderHeader_SalesPerson_SalesPersonID,Sales,SalesOrderHeader,SalesPersonID,Sales,SalesPerson,BusinessEntityID
FK_SalesOrderHeader_SalesTerritory_TerritoryID,Sales,SalesOrderHeader,TerritoryID,Sales,SalesTerritory,TerritoryID
FK_SalesOrderHeader_ShipMethod_ShipMethodID,Sales,SalesOrderHeader,ShipMethodID,Purchasing,ShipMethod,ShipMethodID
FK_SalesTerritory_CountryRegion_CountryRegionCode,Sales,SalesTerritory,CountryRegionCode,Person,CountryRegion,CountryRegionCode
