1,January,Mountain Bikes,203,1116,1716147.860000,86.410000
2,February,Mountain Bikes,175,970,1376847.260000,69.330000
3,March,Mountain Bikes,238,1548,2403680.300000,121.030000
4,April,Mountain Bikes,237,1248,1316490.260000,66.290000
5,May,Mountain Bikes,237,1568,1730105.290000,87.110000
6,June,Mountain Bikes,339,2398,2533539.200000,127.570000
7,July,Mountain Bikes,322,2329,2437557.520000,122.730000
8,August,Mountain Bikes,313,1495,1670924.630000,84.130000
9,September,Mountain Bikes,386,2191,2373208.200000,119.490000
10,October,Mountain Bikes,402,2053,2250310.450000,113.310000
11,November,Mountain Bikes,500,1413,1752324.930000,88.230000
12,December,Mountain Bikes,490,1951,2271301.020000,114.360000
1,January,Road Bikes,429,2175,2165119.600000,83.260000
2,February,Road Bikes,355,2139,1991848.330000,76.590000
3,March,Road Bikes,476,3568,3258743.560000,125.310000
4,April,Road Bikes,429,2426,2252558.650000,86.620000
5,May,Road Bikes,429,3019,2710309.370000,104.220000
6,June,Road Bikes,536,4061,3440842.450000,132.310000
7,July,Road Bikes,535,3123,2744061.380000,105.520000
8,August,Road Bikes,501,2565,2184824.220000,84.010000
9,September,Road Bikes,525,3626,3094942.090000,119.010000
10,October,Road Bikes,575,2795,2417730.840000,92.970000
11,November,Road Bikes,687,2297,2064755.440000,79.400000
12,December,Road Bikes,585,3363,2880984.370000,110.780000
5,May,Touring Bikes,35,815,556181.970000,52.800000
6,June,Touring Bikes,121,1464,1131277.780000,107.400000
7,July,Touring Bikes,149,1682,1209375.010000,114.810000
8,August,Touring Bikes,141,807,817776.090000,77.630000
9,September,Touring Bikes,170,1237,1212941.550000,115.150000
10,October,Touring Bikes,226,1527,1502814.440000,142.670000
11,November,Touring Bikes,258,782,899778.260000,85.420000
12,December,Touring Bikes,227,1007,1096821.240000,104.120000
