1,January,Mountain Bikes,357,1029,1245679.230000,102.880000
2,February,Mountain Bikes,313,904,1065851.450000,88.030000
3,March,Mountain Bikes,400,1259,1383684.890000,114.270000
4,April,Mountain Bikes,446,1299,1528376.360000,126.220000
5,May,Mountain Bikes,431,431,778629.690000,64.300000
6,June,Mountain Bikes,234,1321,1342368.460000,110.860000
7,July,Mountain Bikes,221,1302,1292679.050000,106.760000
8,August,Mountain Bikes,242,876,997070.270000,82.340000
9,September,Mountain Bikes,270,1201,1256050.770000,103.730000
10,October,Mountain Bikes,310,1236,1346728.620000,111.220000
11,November,Mountain Bikes,364,815,1026312.950000,84.760000
12,December,Mountain Bikes,343,1075,1266765.940000,104.620000
1,January,Road Bikes,415,1184,1159574.740000,98.660000
2,February,Road Bikes,360,1122,1061362.320000,90.300000
3,March,Road Bikes,477,1566,1477872.550000,125.740000
4,April,Road Bikes,487,1347,1273317.890000,108.340000
5,May,Road Bikes,464,464,562763.420000,47.880000
6,June,Road Bikes,279,1554,1453928.280000,123.700000
7,July,Road Bikes,283,1287,1199900.540000,102.090000
8,August,Road Bikes,304,1087,1019402.090000,86.730000
9,September,Road Bikes,314,1393,1316931.100000,112.050000
10,October,Road Bikes,373,1298,1228525.380000,104.530000
11,November,Road Bikes,447,1065,1063896.320000,90.520000
12,December,Road Bikes,376,1349,1286592.870000,109.470000
1,January,Touring Bikes,263,1450,1474335.650000,128.760000
2,February,Touring Bikes,211,845,935851.680000,81.730000
3,March,Touring Bikes,278,1291,1371953.990000,119.820000
4,April,Touring Bikes,301,1579,1621995.340000,141.660000
5,May,Touring Bikes,265,265,465188.250000,40.630000
6,June,Touring Bikes,121,1464,1131277.780000,98.800000
7,July,Touring Bikes,149,1682,1209375.010000,105.620000
8,August,Touring Bikes,141,807,817776.090000,71.420000
9,September,Touring Bikes,170,1237,1212941.550000,105.930000
10,October,Touring Bikes,226,1527,1502814.440000,131.250000
11,November,Touring Bikes,258,782,899778.260000,78.580000
12,December,Touring Bikes,227,1007,1096821.240000,95.790000
