North America,Southwest,US,6224,4565,24184609.60,22.01,3885.70
North America,Canada,CA,4067,1677,16355770.46,14.88,4021.58
North America,Northwest,US,4594,3428,16084942.55,14.64,3501.29
Pacific,Australia,AU,6843,3625,10655335.96,9.70,1557.11
North America,Central,US,385,69,7909009.01,7.20,20542.88
North America,Southeast,US,486,91,7879655.07,7.17,16213.28
Europe,United Kingdom,GB,3219,1951,7670721.04,6.98,2382.95
Europe,France,FR,2672,1844,7251555.65,6.60,2713.91
North America,Northeast,US,352,57,6939374.48,6.31,19714.13
Europe,Germany,DE,2623,1812,4915407.60,4.47,1873.96
